T,Cp,H(@Fcc)
K,J/(mole K),
201,23.5717651,-9597.082259
203,23.60989503,-9555.639875
205,23.6475967,-9514.207156
207,23.68489108,-9472.785372
209,23.72179764,-9431.375802
211,23.7583357,-9389.979733
213,23.79452323,-9348.598464
215,23.83037781,-9307.233301
217,23.86591575,-9265.885565
219,23.90115335,-9224.556584
221,23.93610538,-9183.247702
223,23.97078749,-9141.960273
225,24.00521257,-9100.695664
227,24.03939526,-9059.455255
229,24.07334849,-9018.240441
231,24.10708413,-8977.052631
233,24.14061588,-8935.893248
235,24.1739539,-8894.763732
237,24.20711046,-8853.66554
239,24.2400965,-8812.600142
241,24.27292235,-8771.569031
243,24.30559866,-8730.573713
245,24.33813485,-8689.615717
247,24.37054127,-8648.69659
249,24.4028268,-8607.8179
251,24.43500157,-8566.981237
253,24.46707355,-8526.188211
255,24.49905142,-8485.440459
257,24.53094482,-8444.73964
259,24.56276088,-8404.087439
261,24.59450788,-8363.485567
263,24.62619461,-8322.935763
265,24.65782791,-8282.439796
267,24.68941665,-8241.999464
269,24.72096769,-8201.616596
271,24.75248827,-8161.293057
273,24.7839865,-8121.030743
275,24.81546883,-8080.831589
277,24.84694398,-8040.697567
279,24.87841765,-8000.630689
281,24.90989758,-7960.633009
283,24.94139089,-7920.706626
285,24.97290496,-7880.853682
287,25.00444646,-7841.076372
289,25.03602313,-7801.376939
291,25.06764128,-7761.75768
293,25.09930923,-7722.220951
295,25.13103361,-7682.769166
297,25.16282188,-7643.404802
299,25.19468173,-7604.130403
301,25.22662074,-7564.948571
303,25.25864566,-7525.862019
305,25.29076594,-7486.873503
307,25.3229884,-7447.985874
309,25.35532176,-7409.202072
311,25.38777485,-7370.52513
313,25.42035504,-7331.958183
315,25.45307318,-7293.504471
317,25.48593702,-7255.167346
319,25.5189564,-7216.950285
321,25.5521421,-7178.85689
323,25.58550411,-7140.890904
325,25.61905206,-7103.056215
327,25.652799,-7065.356871
329,25.6867562,-7027.797091
331,25.72093575,-6990.381276
333,25.75535142,-6953.114025
335,25.79001618,-6916.00015
337,25.82494487,-6879.044693
339,25.86015397,-6842.252947
341,25.89565878,-6805.630474
343,25.93147723,-6769.183132
345,25.96762866,-6732.917103
347,26.00413157,-6696.838918
349,26.04101002,-6660.955496
351,26.07828537,-6625.27418
353,26.11598311,-6589.802779
355,26.15413157,-6554.549624
357,26.19275817,-6519.523616
359,26.23189691,-6484.734299
361,26.2715822,-6450.19193
363,26.31185132,-6415.907571
365,26.35275156,-6381.893189
367,26.39432594,-6348.161777
369,26.43662658,-6314.727496
371,26.47972262,-6281.605845
373,26.523662,-6248.813864
375,26.56852603,-6216.370381
