Temp,Al@l12fcc,Cr@l12fcc,Al@fcc,Cr@fcc
201,0.18437,0.0656305,0.040058,9.50639e-07
202,0.184367,0.0656326,0.0400796,1.01957e-06
203,0.184365,0.0656347,0.0401014,1.09279e-06
204,0.184363,0.0656368,0.0401234,1.1705e-06
205,0.184361,0.0656389,0.0401454,1.25295e-06
206,0.184359,0.0656411,0.0401676,1.34037e-06
207,0.184357,0.0656433,0.0401899,1.43301e-06
208,0.184355,0.0656454,0.0402123,1.53112e-06
209,0.184352,0.0656476,0.0402348,1.63497e-06
210,0.18435,0.0656498,0.0402575,1.74484e-06
211,0.184348,0.065652,0.0402803,1.86101e-06
212,0.184346,0.0656542,0.0403033,1.98379e-06
213,0.184344,0.0656565,0.0403264,2.11347e-06
214,0.184341,0.0656587,0.0403496,2.25039e-06
215,0.184339,0.065661,0.0403729,2.39487e-06
216,0.184337,0.0656633,0.0403964,2.54725e-06
217,0.184334,0.0656655,0.0404201,2.7079e-06
218,0.184332,0.0656678,0.0404438,2.87717e-06
219,0.18433,0.0656702,0.0404678,3.05545e-06
220,0.184328,0.0656725,0.0404918,3.24313e-06
221,0.184325,0.0656748,0.040516,3.44062e-06
222,0.184323,0.0656772,0.0405404,3.64834e-06
223,0.18432,0.0656795,0.0405649,3.86672e-06
224,0.184318,0.0656819,0.0405896,4.09621e-06
225,0.184316,0.0656843,0.0406144,4.33728e-06
226,0.184313,0.0656867,0.0406393,4.59039e-06
227,0.184311,0.0656891,0.0406645,4.85604e-06
228,0.184308,0.0656915,0.0406897,5.13475e-06
229,0.184306,0.065694,0.0407152,5.42704e-06
230,0.184304,0.0656964,0.0407408,5.73344e-06
231,0.184301,0.0656989,0.0407665,6.05451e-06
232,0.184299,0.0657014,0.0407925,6.39084e-06
233,0.184296,0.0657039,0.0408186,6.743e-06
234,0.184294,0.0657064,0.0408448,7.11162e-06
235,0.184291,0.0657089,0.0408713,7.49731e-06
236,0.184289,0.0657115,0.0408979,7.90073e-06
237,0.184286,0.065714,0.0409246,8.32253e-06
238,0.184283,0.0657166,0.0409516,8.76342e-06
239,0.184281,0.0657192,0.0409787,9.22408e-06
240,0.184278,0.0657218,0.041006,9.70525e-06
241,0.184276,0.0657244,0.0410335,1.02077e-05
242,0.184273,0.065727,0.0410611,1.07321e-05
243,0.18427,0.0657296,0.041089,1.12793e-05
244,0.184268,0.0657323,0.041117,1.18502e-05
245,0.184265,0.065735,0.0411452,1.24455e-05
246,0.184262,0.0657376,0.0411736,1.30661e-05
247,0.18426,0.0657403,0.0412022,1.37129e-05
248,0.184257,0.065743,0.041231,1.43868e-05
249,0.184254,0.0657458,0.04126,1.50887e-05
250,0.184251,0.0657485,0.0412892,1.58196e-05
251,0.184249,0.0657513,0.0413186,1.65804e-05
252,0.184246,0.065754,0.0413481,1.73722e-05
253,0.184243,0.0657568,0.0413779,1.8196e-05
254,0.18424,0.0657596,0.0414079,1.90528e-05
255,0.184238,0.0657624,0.0414381,1.99437e-05
256,0.184235,0.0657652,0.0414685,2.08699e-05
257,0.184232,0.0657681,0.0414991,2.18325e-05
258,0.184229,0.0657709,0.04153,2.28327e-05
259,0.184226,0.0657738,0.041561,2.38717e-05
260,0.184223,0.0657767,0.0415923,2.49506e-05
261,0.18422,0.0657796,0.0416237,2.60708e-05
262,0.184218,0.0657825,0.0416554,2.72337e-05
263,0.184215,0.0657854,0.0416874,2.84404e-05
264,0.184212,0.0657883,0.0417195,2.96924e-05
265,0.184209,0.0657913,0.0417519,3.09911e-05
266,0.184206,0.0657942,0.0417845,3.23379e-05
267,0.184203,0.0657972,0.0418174,3.37344e-05
268,0.1842,0.0658002,0.0418505,3.51819e-05
269,0.184197,0.0658032,0.0418838,3.66821e-05
270,0.184194,0.0658062,0.0419173,3.82366e-05
271,0.184191,0.0658093,0.0419511,3.98469e-05
272,0.184188,0.0658123,0.0419852,4.15148e-05
