Temp,"HSN(Al,Al)@fcc","HSN(Cr,Cr)@fcc","HSN(Al,Cr)@fcc"
201,432990,1.52568e+08,107070
202,432882,1.53233e+08,106934
203,432772,1.53893e+08,106796
204,432661,1.54545e+08,106657
205,432549,1.5519e+08,106516
206,432436,1.55827e+08,106375
207,432321,1.56456e+08,106232
208,432206,1.57077e+08,106088
209,432090,1.57688e+08,105942
210,431972,1.5829e+08,105796
211,431853,1.58882e+08,105648
212,431733,1.59464e+08,105499
213,431612,1.60034e+08,105348
214,431490,1.60594e+08,105196
215,431367,1.61141e+08,105042
216,431242,1.61676e+08,104888
217,431116,1.62198e+08,104732
218,430989,1.62707e+08,104574
219,430861,1.63201e+08,104415
220,430732,1.6368e+08,104254
221,430601,1.64144e+08,104093
222,430469,1.64592e+08,103929
223,430335,1.65023e+08,103764
224,430201,1.65437e+08,103598
225,430065,1.65833e+08,103430
226,429927,1.6621e+08,103260
227,429789,1.66568e+08,103089
228,429649,1.66906e+08,102916
229,429507,1.67224e+08,102742
230,429364,1.6752e+08,102566
231,429220,1.67793e+08,102388
232,429074,1.68044e+08,102209
233,428927,1.68271e+08,102028
234,428779,1.68474e+08,101845
235,428629,1.68652e+08,101661
236,428477,1.68805e+08,101475
237,428325,1.6893e+08,101287
238,428170,1.69029e+08,101097
239,428014,1.691e+08,100905
240,427857,1.69142e+08,100712
241,427698,1.69155e+08,100517
242,427537,1.69139e+08,100320
243,427375,1.69091e+08,100121
244,427211,1.69013e+08,99919.6
245,427045,1.68903e+08,99716.8
246,426878,1.6876e+08,99511.9
247,426709,1.68585e+08,99305.1
248,426539,1.68376e+08,99096.3
249,426367,1.68134e+08,98885.4
250,426193,1.67857e+08,98672.5
251,426017,1.67545e+08,98457.5
252,425840,1.67198e+08,98240.4
253,425661,1.66815e+08,98021.1
254,425480,1.66397e+08,97799.7
255,425297,1.65942e+08,97576.1
256,425113,1.65451e+08,97350.3
257,424927,1.64923e+08,97122.3
258,424738,1.64358e+08,96892
259,424548,1.63757e+08,96659.4
260,424356,1.63119e+08,96424.5
261,424162,1.62444e+08,96187.3
262,423967,1.61732e+08,95947.6
263,423769,1.60984e+08,95705.6
264,423569,1.60199e+08,95461.2
265,423367,1.59378e+08,95214.2
266,423163,1.58521e+08,94964.8
267,422957,1.57629e+08,94712.9
268,422749,1.56701e+08,94458.4
269,422539,1.55739e+08,94201.3
270,422327,1.54743e+08,93941.7
271,422113,1.53713e+08,93679.3
272,421896,1.5265e+08,93414.3
273,421677,1.51554e+08,93146.5
274,421456,1.50428e+08,92876
275,421233,1.4927e+08,92602.8
276,421008,1.48082e+08,92326.7
277,420780,1.46866e+08,92047.7
278,420550,1.45621e+08,91765.8
279,420317,1.44349e+08,91481
280,420083,1.43051e+08,91193.2
