Temp,"HSN(Al,Al)@l12fcc","HSN(Cr,Cr)@l12fcc","HSN(Al,Cr)@l12fcc"
201,5.39802e+08,5.39493e+08,5.39359e+08
202,5.39802e+08,5.39493e+08,5.39359e+08
203,5.39802e+08,5.39493e+08,5.39359e+08
204,5.39802e+08,5.39493e+08,5.39359e+08
205,5.39802e+08,5.39493e+08,5.39359e+08
206,5.39802e+08,5.39493e+08,5.39359e+08
207,5.39802e+08,5.39493e+08,5.39359e+08
208,5.39802e+08,5.39493e+08,5.39359e+08
209,5.39802e+08,5.39493e+08,5.39359e+08
210,5.39802e+08,5.39493e+08,5.39359e+08
211,5.39802e+08,5.39493e+08,5.39359e+08
212,5.39802e+08,5.39493e+08,5.39359e+08
213,5.39802e+08,5.39493e+08,5.39359e+08
214,5.39802e+08,5.39493e+08,5.39359e+08
215,5.39802e+08,5.39493e+08,5.39359e+08
216,5.39802e+08,5.39493e+08,5.39359e+08
217,5.39802e+08,5.39493e+08,5.39359e+08
218,5.39802e+08,5.39493e+08,5.39359e+08
219,5.39802e+08,5.39493e+08,5.39359e+08
220,5.39802e+08,5.39493e+08,5.39359e+08
221,5.39802e+08,5.39493e+08,5.39359e+08
222,5.39802e+08,5.39493e+08,5.39359e+08
223,5.39802e+08,5.39493e+08,5.39359e+08
224,5.39802e+08,5.39493e+08,5.39359e+08
225,5.39802e+08,5.39493e+08,5.39359e+08
226,5.39802e+08,5.39493e+08,5.39359e+08
227,5.39802e+08,5.39493e+08,5.39359e+08
228,5.39802e+08,5.39493e+08,5.39359e+08
229,5.39802e+08,5.39493e+08,5.39359e+08
230,5.39802e+08,5.39493e+08,5.39359e+08
231,5.39802e+08,5.39493e+08,5.39359e+08
232,5.39802e+08,5.39493e+08,5.39359e+08
233,5.39802e+08,5.39493e+08,5.39359e+08
234,5.39802e+08,5.39493e+08,5.39359e+08
235,5.39802e+08,5.39493e+08,5.39359e+08
236,5.39802e+08,5.39493e+08,5.39359e+08
237,5.39802e+08,5.39493e+08,5.39359e+08
238,5.39802e+08,5.39493e+08,5.39359e+08
239,5.39802e+08,5.39493e+08,5.39359e+08
240,5.39802e+08,5.39493e+08,5.39359e+08
241,5.39802e+08,5.39493e+08,5.39359e+08
242,5.39802e+08,5.39493e+08,5.39359e+08
243,5.39802e+08,5.39493e+08,5.39359e+08
244,5.39802e+08,5.39493e+08,5.39359e+08
245,5.39802e+08,5.39493e+08,5.39359e+08
246,5.39802e+08,5.39493e+08,5.39359e+08
