T,Cp,H(@Fcc)
K,J/(mole K),
1392,35.61540415,16301.94242
1393,35.62474911,16318.21967
1394,35.63407785,16334.46152
1395,35.64341068,16350.66775
1396,35.65273711,16366.83811
1397,35.66207229,16382.97238
1398,35.67139532,16399.07032
1399,35.6807108,16415.13169
1400,35.69001391,16431.15626
1401,35.69932449,16447.14378
1402,35.70860146,16463.09403
1403,35.71791011,16479.00676
1404,35.72717052,16494.88172
1405,35.73646779,16510.71868
1406,35.74571423,16526.51738
1407,35.75496686,16542.2776
1408,35.76423749,16557.99907
1409,35.77348432,16573.68155
1410,35.78270836,16589.32478
1411,35.79194442,16604.92854
1412,35.80117041,16620.49255
1413,35.81036564,16636.01657
1414,35.81959158,16651.50034
1415,35.82879363,16666.94362
1416,35.83796373,16682.34612
1417,35.84713751,16697.70762
1418,35.85631908,16713.02784
1419,35.86547211,16728.30653
1420,35.87462277,16743.54341
1421,35.88376642,16758.73825
1422,35.89288531,16773.89075
1423,35.90201993,16789.00067
1424,35.91111193,16804.06773
1425,35.92022472,16819.09167
1426,35.92929552,16834.07222
