Temp,"HSN(Al,Al)@l12fcc","HSN(Ti,Ti)@l12fcc","HSN(Al,Ti)@l12fcc"
1392,978020,685723,566860
1393,978058,686605,567247
1394,978095,687490,567633
1395,978130,688376,568019
1396,978163,689263,568406
1397,978194,690153,568793
1398,978224,691044,569179
1399,978253,691936,569566
1400,978279,692830,569952
1401,978304,693726,570339
1402,978328,694623,570726
1403,978349,695522,571112
1404,978369,696423,571499
1405,978388,697325,571886
1406,978404,698229,572272
1407,978419,699134,572659
1408,978432,700041,573046
1409,978443,700950,573432
1410,978453,701860,573819
1411,978460,702772,574205
1412,978466,703686,574592
1413,978470,704601,574978
1414,978472,705518,575365
1415,978473,706436,575751
1416,978471,707357,576137
1417,978468,708278,576524
1418,978463,709202,576910
1419,978456,710127,577296
1420,978447,711054,577682
1421,978436,711982,578068
1422,978423,712913,578454
1423,978408,713845,578839
1424,978391,714778,579225
1425,978372,715713,579611
1426,978352,716650,579996
