Temp,"HSN(Al,Al)@fcc","HSN(Ti,Ti)@fcc","HSN(Al,Ti)@fcc"
1633,587065,573620,233123
1634,582178,574771,233397
1635,577293,575942,233676
1636,572412,577134,233961
1637,567537,578346,234252
1638,562669,579580,234549
1639,557812,580836,234851
1640,552966,582116,235160
1641,548135,583420,235475
1642,543321,584749,235796
1643,538525,586103,236124
1644,533751,587486,236458
1645,529001,588896,236800
1646,524277,590336,237147
1647,519582,591806,237502
1648,514919,593309,237864
1649,510290,594844,238232
1650,505698,596415,238608
