Temp,"HSN(Al,Al)@liq","HSN(Ti,Ti)@liq","HSN(Al,Ti)@liq"
1633,678783,549980,218507
1634,670457,551166,218852
1635,662167,552371,219202
1636,653918,553596,219559
1637,645710,554841,219923
1638,637547,556107,220293
1639,629433,557395,220671
1640,621369,558705,221055
1641,613359,560039,221448
1642,605407,561397,221847
1643,597514,562781,222254
1644,589685,564190,222670
1645,581924,565627,223093
1646,574232,567093,223525
1647,566614,568588,223965
1648,559073,570113,224414
1649,551613,571672,224872
1650,544237,573263,225339
